browar;nazwa;styl;BLG;V;gat_jedn;overall;style;IBU;weighted
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;KuŸnia Milk Stout ; Milk Stout ;15;6.725;Stout;92;89;30;3.57
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Tajemnice Króla ; Stout ;12.5;5.6;Stout;69;52;20;3.33
AleBrowar;Lady Blanche ; Witbier ;12;6.2;Wheat;45;64;15;3.13
Brokreacja;The Nurse ; Hefeweizen ;12;5.2;Wheat;78;98;15;3.4
Brokreacja;The Dancer ; Witbier ;13;7;Wheat;69;92;20;3.37
Browar Cornelius;Cornelius Banan ; Pszeniczne ;13;3;Wheat;8;15;20.67;2.4
Browar Cornelius;Cornelius Grejpfrut ; Pszeniczne ;13;6;Wheat;10;18;18.95;2.47
Browar Cornelius;Cornelius Triple Blond ;Belgian Ale;13.5988;8;Wheat;39;17;22.83;3.04
Browar Perun;Jare Gody ; Hefe Weizen ;13;5.6;Wheat;85;99;12;3.53
Browar Setka;Curacao ; Witbier ;12;6.6;Wheat;28;33;26;2.89
Browar Sza³piw;Bamber ; hefeweizen ;12;11;Wheat;73;97;21.54333333;3.36
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Œmietanka ; Pszeniczne ;12.5;5.6;Wheat;36;49;15;3.01
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Córa Koryntu ; Weizenbock ;16.5;5.6;Wheat;37;19;28.71;3.02
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Pomarañczarnia ; Witbier ;12.5;7;Wheat;15;12;19;2.68
Pinta;Son of a Birch;Wheat Ale z sokiem brzozowym;9;3;Wheat;89;98;20;3.53
