nazwa;spec;alien;wdensity;lai;canopy_height;leaf_dmc;leaf_mass;leaf_size;seed_mass;pochodzenie;iglasty;shade_tolerance;drought_tolerance;waterlogging_tolerance;disturbance_index
robinia;Robinia pseudoacacia;obcy;0.6746;2.89;21.99475357;284.6575;181.909619;3160.646709;1154.206496;North America;lisciasty;1.72;4.11;1.07;0
wierzba bia³a;Salix alba;rodzimy;0.284;5.515141453;15.16666667;298.615;63.3575;782.125;0.12;Europe;lisciasty;1.99;2;4.1;0
wierzba krucha;Salix fragilis;rodzimy;0.36;4.383247451;10.66666667;293.9340821;136.2030959;1893.278076;0.117;Europe;lisciasty;1.42;1.23;3.94;-0.67261
jarz¹b m¹czny;Sorbus aria;rodzimy;0.6415;4.477235933;10.75;292.7175;232.175;5548.375;128.6498333;Europe;lisciasty;3;3.55;1.32;-1.866
jarz¹b posp.;Sorbus aucuparia;rodzimy;0.629;4.759030813;12.75;268.75;152.5842225;637.05;121.4390444;Europe;lisciasty;2.73;2.11;1.76;-1.913
jarz¹b szwedzki;Sorbus intermedia;rodzimy;0.500629333;4.438025602;8.25;235.72;294.43;5382.635;583.716;Europe;lisciasty;2.66;2.21;1.04;-0.64796
jarz¹b brekinia;Sorbus torminalis;rodzimy;0.611;4.605434034;14.83333333;246.915;172.855;6209.75;119.0188;Europe;lisciasty;3.38;3.74;1.04;-1.958
cis;Taxus baccata;rodzimy;0.551;6.108573555;17.5;267.1666667;69.17730285;51.85;45.3264;Europe;iglasty;4.43;3.01;1.32;-1.924
tuja;Thuja plicata;obcy;0.31;6.564348303;45;298.1352393;46.00017;589.0841036;1.24;North America;iglasty;4.73;2.23;1.01;-1.21169
lipa dr.;Tilia cordata;rodzimy;0.422;6.123676372;21.66666667;270.6447941;89.34731148;0;50.55;Europe;lisciasty;4.18;2.75;1.83;-1.976
lipa szer.;Tilia platyphyllos;rodzimy;0.422;5.451808985;30;206.195;160.91;6034.25;146.54;Europe;lisciasty;4;2.52;1.02;-1.974
choina;Tsuga canadensis;obcy;0.38;8.095;20;285.0088857;90.56681476;1894.575925;316.0029337;North America;iglasty;4.83;1;1.25;-1.26813
wi¹z górski;Ulmus glabra;rodzimy;0.5505;5.445515101;33.33333333;254.07;114.6725;3395.233333;11.48855;Europe;lisciasty;3.53;2.41;2.03;0
wi¹z szyp.;Ulmus laevis;rodzimy;0.551;5.027738568;35;218.695;98.445;4532.25;8;Europe;lisciasty;3.67;1.45;2.83;0
